timestamp,container,cpu,mem,mem_percent,net_io,block_io,pids
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-94582f3c5c2a4ae035b3dd2c556bfa97,0.03%,36.63MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-2549e8fead1b904b78c59a2008753f6f,0.01%,35.98MiB / 11.32GiB,0.31%,11.8kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-140d8423947107052a51c4879661b553,0.02%,35.52MiB / 11.32GiB,0.31%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-cd29e7cf2e2e5ef9ad3b40837db77c41,0.01%,37.12MiB / 11.32GiB,0.32%,9.66kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-4b52a25ea4a3e717ad4e99961ff31164,0.02%,36.82MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-edf4db05cfaeb51fac6c39e26fc13f5a,0.01%,36.06MiB / 11.32GiB,0.31%,11.2kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-5f03faccf3ab85498585863355ed7ae0,0.03%,36.65MiB / 11.32GiB,0.32%,10.3kB / 17.3kB,0B / 12.3kB,27
2026-01-06T22:45:27,novamart-localstack,0.04%,1.707GiB / 11.32GiB,15.08%,3.91MB / 2.64MB,8.95MB / 7.22GB,1059
2026-01-06T22:45:27,novamart-inventory-dynamodb,56.57%,324.7MiB / 11.32GiB,2.80%,19.6MB / 5.78MB,0B / 5.58MB,58
2026-01-06T22:45:27,novamart-localstack-lambda-novamart-inventory-handler-200acf734ffa22fd85785e74529d7a81,0.01%,14.07MiB / 11.32GiB,0.12%,19kB / 22kB,0B / 12.3kB,17
2026-01-06T22:45:30,novamart-inventory-service,29.48%,72.91MiB / 11.32GiB,0.63%,9.58MB / 22.6MB,0B / 4.1kB,22
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-d680ff31c9f282a9a4a60b67cd288135,0.02%,35.62MiB / 11.32GiB,0.31%,11.1kB / 17.4kB,0B / 12.3kB,28
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-af3ece34afdc6f78386064123366d258,0.01%,35.05MiB / 11.32GiB,0.30%,9.94kB / 17.2kB,0B / 8.19kB,25
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-7628f368b9c53e496ab20cf6d732fb0d,0.02%,36.51MiB / 11.32GiB,0.31%,9.98kB / 17.3kB,0B / 8.19kB,24
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-471814cdd3b52fb4b83f70b8ff9caa74,0.02%,36.13MiB / 11.32GiB,0.31%,11.4kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-7b1d04499dbffc95d2de821185c9c987,0.02%,37.05MiB / 11.32GiB,0.32%,9.83kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-441f5e77697f54f3479cc4504fa503ae,0.02%,37.16MiB / 11.32GiB,0.32%,11.2kB / 17.4kB,0B / 8.19kB,27
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-e1208ecc439f3b423d72860681aa4f20,0.02%,36.4MiB / 11.32GiB,0.31%,10.1kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-94582f3c5c2a4ae035b3dd2c556bfa97,0.02%,36.63MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-2549e8fead1b904b78c59a2008753f6f,0.01%,35.98MiB / 11.32GiB,0.31%,11.8kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-140d8423947107052a51c4879661b553,0.02%,35.52MiB / 11.32GiB,0.31%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-cd29e7cf2e2e5ef9ad3b40837db77c41,0.01%,37.12MiB / 11.32GiB,0.32%,9.66kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-4b52a25ea4a3e717ad4e99961ff31164,0.03%,36.82MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-edf4db05cfaeb51fac6c39e26fc13f5a,0.01%,36.06MiB / 11.32GiB,0.31%,11.2kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-5f03faccf3ab85498585863355ed7ae0,0.01%,36.65MiB / 11.32GiB,0.32%,10.3kB / 17.3kB,0B / 12.3kB,27
2026-01-06T22:45:30,novamart-localstack,0.03%,1.707GiB / 11.32GiB,15.08%,3.91MB / 2.64MB,8.95MB / 7.22GB,1059
2026-01-06T22:45:30,novamart-inventory-dynamodb,24.98%,324.4MiB / 11.32GiB,2.80%,20.9MB / 6.19MB,0B / 5.58MB,53
2026-01-06T22:45:30,novamart-localstack-lambda-novamart-inventory-handler-200acf734ffa22fd85785e74529d7a81,0.01%,14.07MiB / 11.32GiB,0.12%,19kB / 22kB,0B / 12.3kB,17
2026-01-06T22:45:34,novamart-inventory-service,29.98%,73.05MiB / 11.32GiB,0.63%,10.2MB / 24.1MB,0B / 4.1kB,22
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-d680ff31c9f282a9a4a60b67cd288135,0.04%,35.62MiB / 11.32GiB,0.31%,11.1kB / 17.4kB,0B / 12.3kB,28
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-af3ece34afdc6f78386064123366d258,0.03%,35.05MiB / 11.32GiB,0.30%,9.94kB / 17.2kB,0B / 8.19kB,25
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-7628f368b9c53e496ab20cf6d732fb0d,0.02%,36.51MiB / 11.32GiB,0.31%,9.98kB / 17.3kB,0B / 8.19kB,24
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-471814cdd3b52fb4b83f70b8ff9caa74,0.02%,36.13MiB / 11.32GiB,0.31%,11.4kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-7b1d04499dbffc95d2de821185c9c987,0.02%,37.05MiB / 11.32GiB,0.32%,9.83kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-441f5e77697f54f3479cc4504fa503ae,0.02%,37.16MiB / 11.32GiB,0.32%,11.2kB / 17.4kB,0B / 8.19kB,27
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-e1208ecc439f3b423d72860681aa4f20,0.01%,36.4MiB / 11.32GiB,0.31%,10.1kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-94582f3c5c2a4ae035b3dd2c556bfa97,0.02%,36.63MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-2549e8fead1b904b78c59a2008753f6f,0.02%,35.98MiB / 11.32GiB,0.31%,11.8kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-140d8423947107052a51c4879661b553,0.02%,35.52MiB / 11.32GiB,0.31%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-cd29e7cf2e2e5ef9ad3b40837db77c41,0.02%,37.12MiB / 11.32GiB,0.32%,9.66kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-4b52a25ea4a3e717ad4e99961ff31164,0.01%,36.82MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-edf4db05cfaeb51fac6c39e26fc13f5a,0.03%,36.06MiB / 11.32GiB,0.31%,11.2kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-5f03faccf3ab85498585863355ed7ae0,0.02%,36.65MiB / 11.32GiB,0.32%,10.3kB / 17.3kB,0B / 12.3kB,27
2026-01-06T22:45:34,novamart-localstack,0.04%,1.707GiB / 11.32GiB,15.08%,3.91MB / 2.64MB,8.95MB / 7.22GB,1059
2026-01-06T22:45:34,novamart-inventory-dynamodb,26.45%,324.7MiB / 11.32GiB,2.80%,22.3MB / 6.59MB,0B / 5.58MB,53
2026-01-06T22:45:34,novamart-localstack-lambda-novamart-inventory-handler-200acf734ffa22fd85785e74529d7a81,0.01%,14.07MiB / 11.32GiB,0.12%,19kB / 22kB,0B / 12.3kB,17
2026-01-06T22:45:37,novamart-inventory-service,30.29%,71.89MiB / 11.32GiB,0.62%,10.8MB / 25.6MB,0B / 4.1kB,22
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-d680ff31c9f282a9a4a60b67cd288135,0.02%,35.62MiB / 11.32GiB,0.31%,11.1kB / 17.4kB,0B / 12.3kB,28
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-af3ece34afdc6f78386064123366d258,0.03%,35.05MiB / 11.32GiB,0.30%,9.94kB / 17.2kB,0B / 8.19kB,25
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-7628f368b9c53e496ab20cf6d732fb0d,0.02%,36.51MiB / 11.32GiB,0.31%,9.98kB / 17.3kB,0B / 8.19kB,24
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-471814cdd3b52fb4b83f70b8ff9caa74,0.04%,36.13MiB / 11.32GiB,0.31%,11.4kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-7b1d04499dbffc95d2de821185c9c987,0.01%,37.05MiB / 11.32GiB,0.32%,9.83kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-441f5e77697f54f3479cc4504fa503ae,0.01%,37.16MiB / 11.32GiB,0.32%,11.2kB / 17.4kB,0B / 8.19kB,27
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-e1208ecc439f3b423d72860681aa4f20,0.02%,36.4MiB / 11.32GiB,0.31%,10.1kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-94582f3c5c2a4ae035b3dd2c556bfa97,0.02%,36.63MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-2549e8fead1b904b78c59a2008753f6f,0.02%,35.98MiB / 11.32GiB,0.31%,11.8kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-140d8423947107052a51c4879661b553,0.01%,35.52MiB / 11.32GiB,0.31%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-cd29e7cf2e2e5ef9ad3b40837db77c41,0.02%,37.12MiB / 11.32GiB,0.32%,9.66kB / 17.3kB,0B / 8.19kB,26
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-4b52a25ea4a3e717ad4e99961ff31164,0.02%,36.82MiB / 11.32GiB,0.32%,11.7kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-edf4db05cfaeb51fac6c39e26fc13f5a,0.03%,36.06MiB / 11.32GiB,0.31%,11.2kB / 17.4kB,0B / 8.19kB,25
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-5f03faccf3ab85498585863355ed7ae0,0.02%,36.9MiB / 11.32GiB,0.32%,10.3kB / 17.3kB,0B / 12.3kB,27
2026-01-06T22:45:37,novamart-localstack,0.04%,1.707GiB / 11.32GiB,15.08%,3.91MB / 2.64MB,8.95MB / 7.22GB,1059
2026-01-06T22:45:37,novamart-inventory-dynamodb,24.07%,324.5MiB / 11.32GiB,2.80%,23.7MB / 6.99MB,0B / 5.58MB,53
2026-01-06T22:45:37,novamart-localstack-lambda-novamart-inventory-handler-200acf734ffa22fd85785e74529d7a81,0.37%,14.36MiB / 11.32GiB,0.12%,19kB / 22kB,0B / 12.3kB,17
2026-01-06T22:45:40,novamart-inventory-service,36.17%,72.56MiB / 11.32GiB,0.63%,11.5MB / 27MB,0B / 4.1kB,22
